work_order_id,property_id,trade,urgency,status,recommended_vendor_id,recommended_vendor_name,match_score,vendor_sla_pct,vendor_quality,vendor_response_hrs
WO00059,P016,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00063,P045,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00066,P028,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00067,P032,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00074,P043,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00077,P037,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00085,P044,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00088,P035,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00089,P020,plumbing,high,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00090,P038,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00095,P016,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00097,P040,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00099,P032,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00101,P027,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00111,P021,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00112,P014,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00117,P008,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00122,P016,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00125,P020,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00126,P032,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00127,P038,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00133,P020,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00135,P044,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00138,P032,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00142,P037,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00145,P038,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00150,P025,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00151,P007,HVAC,emergency,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00154,P014,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00157,P022,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00160,P045,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00161,P038,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00165,P029,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00172,P050,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00173,P005,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00174,P029,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00178,P043,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00184,P038,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00185,P016,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00189,P003,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00191,P022,HVAC,emergency,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00197,P021,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00203,P021,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00205,P032,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00210,P012,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00217,P038,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00218,P021,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00221,P012,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00223,P045,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00224,P023,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00225,P040,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00226,P046,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00230,P049,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00231,P037,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00232,P010,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00236,P050,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00239,P005,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00241,P010,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00242,P031,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00245,P010,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00246,P022,general,emergency,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00249,P038,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00251,P021,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00258,P038,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00259,P014,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00261,P031,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00264,P020,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00268,P022,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00269,P032,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00275,P014,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00278,P040,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00279,P029,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00281,P021,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00282,P012,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00286,P040,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00288,P040,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00289,P020,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00290,P018,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00291,P007,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00292,P020,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00294,P048,plumbing,high,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00295,P018,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00296,P005,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00301,P016,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00303,P031,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00312,P037,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00322,P050,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00324,P036,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00325,P005,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00326,P026,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00328,P039,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00336,P007,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00337,P014,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00339,P043,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00340,P048,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00341,P003,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00343,P046,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00350,P029,plumbing,high,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00354,P014,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00355,P032,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00356,P031,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00358,P012,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00361,P040,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00362,P021,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00366,P014,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00369,P028,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00375,P031,general,emergency,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00378,P049,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00385,P037,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00387,P049,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00388,P043,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00389,P037,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00390,P037,electrical,emergency,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00391,P029,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00395,P014,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00397,P004,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00400,P032,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00404,P007,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00408,P018,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00413,P013,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00417,P014,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00422,P007,plumbing,emergency,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00426,P020,electrical,emergency,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00427,P022,general,emergency,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00434,P048,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00437,P025,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00438,P016,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00440,P014,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00454,P029,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00455,P043,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00458,P018,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00460,P014,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00462,P002,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00467,P014,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00468,P040,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00469,P012,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00470,P030,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00473,P038,plumbing,high,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00474,P043,plumbing,emergency,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00475,P028,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00477,P021,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00478,P048,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00482,P032,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00486,P015,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00488,P024,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00490,P018,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00491,P034,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00495,P022,general,emergency,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00501,P007,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00503,P046,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00510,P022,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00511,P036,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00512,P005,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00513,P032,plumbing,high,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00514,P046,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00516,P004,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00518,P022,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00523,P033,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00526,P028,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00527,P031,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00532,P003,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00534,P005,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00536,P014,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00537,P028,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00552,P020,plumbing,emergency,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00553,P049,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00559,P016,general,emergency,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00563,P031,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00567,P006,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00568,P029,plumbing,emergency,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00571,P012,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00572,P032,general,emergency,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00573,P040,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00574,P032,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00580,P002,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00583,P027,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00584,P022,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00585,P014,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00586,P037,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00590,P018,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00591,P009,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00592,P049,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00597,P025,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00598,P039,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00600,P028,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00602,P012,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00606,P012,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00608,P050,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00609,P010,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00610,P016,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00613,P050,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00617,P007,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00624,P021,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00626,P025,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00628,P029,plumbing,high,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00630,P045,general,emergency,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00632,P022,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00636,P046,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00638,P045,plumbing,high,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00642,P018,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00643,P047,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00644,P005,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00647,P012,general,low,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00651,P021,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00652,P022,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00653,P018,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00655,P032,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00656,P032,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00669,P037,general,emergency,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00672,P032,electrical,emergency,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00673,P021,general,emergency,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00679,P040,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00680,P021,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00682,P009,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00683,P007,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00691,P022,plumbing,emergency,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00693,P050,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00695,P012,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00696,P012,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00698,P022,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00700,P014,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00703,P013,HVAC,emergency,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00710,P009,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00713,P040,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00718,P002,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00719,P006,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00720,P014,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00722,P014,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00726,P037,electrical,high,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00727,P016,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00730,P012,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00731,P028,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00733,P014,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00735,P038,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00738,P046,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00740,P032,plumbing,high,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00741,P003,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00742,P032,HVAC,emergency,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00744,P032,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00745,P010,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00750,P036,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00756,P002,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00758,P032,HVAC,high,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00759,P007,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00760,P040,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00762,P038,HVAC,medium,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00764,P005,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00765,P037,electrical,low,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00768,P049,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00771,P022,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00773,P002,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00775,P002,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00777,P015,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00778,P022,plumbing,emergency,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00779,P033,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00785,P021,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00788,P012,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00791,P022,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00792,P047,general,medium,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00794,P002,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00796,P022,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00797,P050,plumbing,medium,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00798,P004,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00802,P012,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00803,P045,HVAC,low,open,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00806,P014,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00808,P029,general,low,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00812,P012,HVAC,low,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
