work_order_id,tenant_id,property_id,unit_number,trade,urgency,status,description,created_at,resolved_at,resolution_hours,assigned_vendor,predicted_trade,predicted_urgency,ai_confidence,trade_match,urgency_match
WO00013,T0432,P023,32,electrical,low,open,"Power went out in half the unit, breaker won't reset",2024-06-25 20:00,,,,electrical,high,0.95,true,false
WO00014,T0006,P038,148,HVAC,high,in-progress,"Thermostat unresponsive, screen is blank",2024-09-24 09:00,,,V006,HVAC,medium,0.9,true,false
WO00015,T0098,P018,10,electrical,low,resolved,Outlet in kitchen sparks when plugging in appliances,2025-05-19 20:00,2025-05-27 13:38,185.6,V002,electrical,emergency,0.99,true,false
WO00016,T0057,P031,50,plumbing,low,open,Garbage disposal jammed and won't turn on,2025-05-19 16:00,,,,plumbing,low,0.9,true,true
WO00017,T0406,P040,75,general,high,in-progress,"Patio door off track, won't slide properly",2025-03-26 14:00,,,V005,general,medium,0.95,true,false
WO00018,T0065,P021,68,electrical,low,resolved,Smoke detector chirping every 30 seconds,2025-04-23 14:00,2025-05-09 22:31,392.5,V007,electrical,medium,0.95,true,false
WO00019,T0296,P049,46,general,medium,resolved,Mold spots appearing on bathroom ceiling near vent,2025-02-03 10:00,2025-02-07 01:25,87.4,V021,general,high,0.85,true,false
WO00020,T0365,P010,57,plumbing,medium,resolved,"Hot water heater making popping sounds, no hot water",2025-05-04 17:00,2025-05-12 20:31,195.5,V003,plumbing,high,0.92,true,false
WO00021,T0356,P030,8,plumbing,emergency,resolved,"Hot water heater making popping sounds, no hot water",2024-06-07 17:00,2024-06-08 00:04,7.1,V023,plumbing,high,0.95,true,false
WO00022,T0097,P026,9,general,high,in-progress,"Intercom/doorbell not working, can't hear buzzer",2025-02-26 15:00,,,V021,electrical,low,0.9,false,false
WO00023,T0390,P021,48,electrical,medium,resolved,Dryer outlet not providing power,2024-07-25 09:00,2024-07-29 21:45,108.8,V008,electrical,medium,0.95,true,true
WO00024,T0198,P027,8,general,low,resolved,"Cabinet hinge in kitchen broken, door hanging loose",2024-09-05 08:00,2024-09-16 05:21,261.4,V016,general,low,0.95,true,true
WO00025,T0352,P012,1,electrical,low,resolved,Circuit breaker keeps tripping for bedroom circuit,2024-08-15 14:00,2024-09-03 20:24,462.4,V002,electrical,high,0.98,true,false
WO00026,T0124,P002,10,plumbing,low,in-progress,"Kitchen faucet dripping nonstop, water pooling under the sink",2025-01-30 17:00,,,V028,plumbing,high,0.95,true,false
WO00027,T0232,P050,41,electrical,high,resolved,Circuit breaker keeps tripping for bedroom circuit,2024-11-29 13:00,2024-12-01 04:16,39.3,V030,electrical,high,0.98,true,true
WO00028,T0258,P005,12,general,medium,open,"Bedroom closet door won't close, keeps swinging open",2024-12-07 08:00,,,,general,low,0.95,true,false
WO00029,T0026,P007,25,general,medium,resolved,"Bedroom closet door won't close, keeps swinging open",2024-09-05 13:00,2024-09-09 18:40,101.7,V021,general,low,0.95,true,false
WO00030,T0272,P010,69,general,medium,open,"Front door lock sticking, key requires extreme force",2025-04-27 10:00,,,,general,high,0.9,true,false
WO00031,T0491,P028,9,plumbing,high,open,"Kitchen faucet dripping nonstop, water pooling under the sink",2025-03-22 11:00,,,,plumbing,high,0.95,true,true
WO00032,T0123,P006,27,plumbing,medium,in-progress,Water stain appearing on ceiling — possible leak from unit above,2025-05-25 18:00,,,V023,plumbing,emergency,0.95,true,false
WO00033,T0201,P007,71,general,high,resolved,"Bedroom closet door won't close, keeps swinging open",2025-02-09 10:00,2025-02-10 22:18,36.3,V016,general,low,0.95,true,false
WO00034,T0178,P021,77,electrical,medium,in-progress,Outlet in kitchen sparks when plugging in appliances,2024-07-19 09:00,,,V030,electrical,emergency,0.98,true,false
WO00035,T0379,P050,28,electrical,low,resolved,"Two light switches not working, bulbs already replaced",2024-11-09 17:00,2024-11-17 16:20,191.3,V007,electrical,medium,0.9,true,false
WO00036,T0171,P032,21,general,high,open,Garage door opener stopped responding to remote,2025-01-06 12:00,,,,electrical,medium,0.85,false,false
WO00037,T0011,P002,91,HVAC,low,resolved,"HVAC filter clogged, air quality seems poor",2025-05-14 19:00,2025-06-02 17:38,454.6,V020,HVAC,low,0.95,true,true
WO00038,T0181,P009,16,general,medium,resolved,"Hole in drywall in hallway, about the size of a fist",2025-01-28 08:00,2025-01-31 15:35,79.6,V005,general,low,0.95,true,false
WO00039,T0291,P038,40,electrical,low,resolved,"Two light switches not working, bulbs already replaced",2024-08-15 19:00,2024-08-24 02:33,199.6,V008,electrical,medium,0.9,true,false
WO00040,T0412,P010,73,electrical,medium,resolved,Dryer outlet not providing power,2024-10-10 17:00,2024-10-17 02:43,153.7,V008,electrical,medium,0.95,true,true
WO00041,T0235,P009,90,plumbing,low,in-progress,Garbage disposal jammed and won't turn on,2025-02-21 19:00,,,V028,plumbing,medium,0.95,true,false
WO00042,T0248,P050,79,plumbing,high,resolved,"Kitchen faucet dripping nonstop, water pooling under the sink",2024-08-15 13:00,2024-08-19 02:39,85.7,V003,plumbing,high,0.98,true,true
WO00043,T0183,P005,28,general,emergency,resolved,"Cabinet hinge in kitchen broken, door hanging loose",2024-12-02 10:00,2024-12-03 04:28,18.5,V016,general,low,0.95,true,false
WO00044,T0472,P043,5,general,medium,resolved,"Carpet edge pulling up near entryway, tripping hazard",2025-01-17 15:00,2025-01-21 20:23,101.4,V021,general,medium,0.9,true,true
WO00045,T0455,P013,39,electrical,medium,resolved,Flickering lights throughout the apartment,2024-11-06 10:00,2024-11-09 16:54,78.9,V008,electrical,high,0.92,true,false
WO00046,T0428,P038,80,plumbing,medium,resolved,Garbage disposal jammed and won't turn on,2024-10-26 08:00,2024-11-05 02:52,234.9,V023,plumbing,medium,0.95,true,true
WO00047,T0475,P032,97,HVAC,medium,in-progress,"Furnace won't ignite, no heat in unit",2025-04-16 15:00,,,V011,HVAC,emergency,0.99,true,false
WO00048,T0156,P039,3,general,high,resolved,"Front door lock sticking, key requires extreme force",2025-01-19 07:00,2025-01-20 22:38,39.6,V005,general,medium,0.9,true,false
WO00049,T0028,P023,7,general,medium,resolved,"Front door lock sticking, key requires extreme force",2024-06-26 11:00,2024-06-30 10:08,95.1,V021,general,medium,0.9,true,true
WO00050,T0403,P012,110,HVAC,low,resolved,"HVAC filter clogged, air quality seems poor",2024-09-09 13:00,2024-09-24 17:38,364.6,V006,HVAC,low,0.95,true,true
WO00051,T0149,P016,118,HVAC,emergency,resolved,AC not cooling below 78 even on max setting,2025-05-14 17:00,2025-05-15 03:44,10.7,V018,HVAC,medium,0.95,true,false
WO00052,T0496,P006,17,plumbing,low,resolved,Water stain appearing on ceiling — possible leak from unit above,2024-11-07 09:00,2024-11-22 06:28,357.5,V017,plumbing,high,0.98,true,false
WO00053,T0412,P010,73,HVAC,medium,in-progress,"HVAC filter clogged, air quality seems poor",2024-12-31 15:00,,,V011,HVAC,low,0.95,true,false
WO00054,T0155,P028,10,electrical,high,resolved,"Exterior outlet has no power, GFCI keeps tripping",2025-03-07 09:00,2025-03-09 12:04,51.1,V030,electrical,medium,0.95,true,false
WO00055,T0050,P014,133,HVAC,medium,resolved,Loud banging noise every time heat kicks on,2025-05-17 18:00,2025-05-23 06:04,132.1,V013,HVAC,medium,0.9,true,true
WO00056,T0219,P032,110,general,medium,resolved,"Front door lock sticking, key requires extreme force",2025-03-14 07:00,2025-03-23 23:51,232.9,V022,general,medium,0.9,true,true
WO00057,T0046,P021,41,HVAC,medium,in-progress,AC not cooling below 78 even on max setting,2025-03-25 15:00,,,V013,HVAC,medium,0.95,true,true
WO00058,T0066,P048,1,electrical,emergency,resolved,"Two light switches not working, bulbs already replaced",2024-12-24 17:00,2024-12-24 19:31,2.5,V030,electrical,medium,0.95,true,false
WO00059,T0430,P016,69,plumbing,high,in-progress,"Toilet won't stop running, sounds like it's constantly refilling",2024-11-18 16:00,,,V001,plumbing,medium,0.95,true,false
WO00060,T0421,P012,81,electrical,medium,resolved,Outlet in kitchen sparks when plugging in appliances,2024-08-02 18:00,2024-08-09 20:12,170.2,V002,electrical,emergency,0.99,true,false
WO00061,T0360,P002,115,HVAC,medium,resolved,AC unit leaking water onto the floor,2024-08-09 10:00,2024-08-18 16:22,222.4,V011,HVAC,medium,0.95,true,true
WO00062,T0155,P028,10,electrical,medium,resolved,"Exterior outlet has no power, GFCI keeps tripping",2025-04-16 18:00,2025-04-21 03:43,105.7,V002,electrical,high,0.98,true,false
WO00063,T0001,P045,42,HVAC,medium,open,"Heater blowing cold air, thermostat set to 72",2024-10-05 10:00,,,,HVAC,high,0.99,true,false
WO00064,T0054,P037,127,general,emergency,resolved,"Cabinet hinge in kitchen broken, door hanging loose",2024-06-29 08:00,2024-06-29 16:52,8.9,V022,general,low,0.95,true,false
WO00065,T0095,P040,24,HVAC,low,resolved,Vents blowing hot air when AC is set to cool,2025-05-15 14:00,2025-06-03 14:43,456.7,V020,HVAC,high,0.98,true,false
WO00066,T0064,P028,81,general,high,open,"Patio door off track, won't slide properly",2025-05-03 10:00,,,,general,medium,0.9,true,false
WO00067,T0088,P032,50,HVAC,medium,in-progress,"Heater blowing cold air, thermostat set to 72",2025-03-29 14:00,,,V013,HVAC,high,0.99,true,false
WO00068,T0342,P037,78,electrical,medium,resolved,Circuit breaker keeps tripping for bedroom circuit,2025-01-24 13:00,2025-02-02 05:40,208.7,V007,electrical,high,0.95,true,false
WO00069,T0015,P022,101,electrical,medium,resolved,Outlet in kitchen sparks when plugging in appliances,2025-03-25 11:00,2025-03-28 16:43,77.7,V030,electrical,emergency,0.99,true,false
WO00070,T0022,P026,3,electrical,low,resolved,"Exterior outlet has no power, GFCI keeps tripping",2024-10-20 07:00,2024-11-10 00:52,497.9,V008,electrical,high,0.98,true,false
WO00071,T0257,P029,84,HVAC,medium,resolved,"Thermostat unresponsive, screen is blank",2025-02-18 08:00,2025-02-22 13:18,101.3,V011,HVAC,medium,0.9,true,true
WO00072,T0181,P009,16,electrical,medium,resolved,"Two light switches not working, bulbs already replaced",2024-10-21 19:00,2024-10-30 03:07,200.1,V008,electrical,medium,0.92,true,true
WO00073,T0473,P029,120,general,emergency,resolved,Garage door opener stopped responding to remote,2024-12-10 14:00,2024-12-11 05:29,15.5,V016,general,medium,0.85,true,false
WO00074,T0295,P043,29,electrical,high,in-progress,Light fixture in bathroom buzzing loudly,2024-11-26 16:00,,,V030,electrical,medium,0.88,true,false
WO00075,T0035,P049,57,plumbing,emergency,resolved,"Hot water heater making popping sounds, no hot water",2024-07-20 17:00,2024-07-20 21:41,4.7,V023,plumbing,high,0.97,true,false
WO00076,T0166,P021,26,HVAC,low,resolved,AC not cooling below 78 even on max setting,2024-07-24 09:00,2024-08-10 13:39,412.7,V018,HVAC,medium,0.94,true,false
WO00077,T0387,P037,18,general,low,open,"Bedroom closet door won't close, keeps swinging open",2024-07-29 07:00,,,,general,low,0.92,true,true
WO00078,T0434,P016,25,plumbing,medium,resolved,"Kitchen faucet dripping nonstop, water pooling under the sink",2024-08-29 12:00,2024-09-02 06:05,90.1,V023,plumbing,medium,0.95,true,true
WO00079,T0194,P003,16,HVAC,low,resolved,AC not cooling below 78 even on max setting,2024-09-09 11:00,2024-09-23 08:00,333.0,V013,HVAC,medium,0.94,true,false
WO00080,T0116,P018,94,HVAC,medium,resolved,Loud banging noise every time heat kicks on,2024-09-07 08:00,2024-09-14 09:47,169.8,V006,HVAC,high,0.96,true,false
WO00081,T0105,P032,12,plumbing,low,resolved,Garbage disposal jammed and won't turn on,2024-12-26 16:00,2025-01-10 07:39,351.7,V001,plumbing,medium,0.95,true,false
WO00082,T0175,P031,69,HVAC,medium,resolved,Loud banging noise every time heat kicks on,2025-02-10 10:00,2025-02-19 05:50,211.8,V020,HVAC,high,0.9,true,false
WO00083,T0424,P040,166,general,medium,resolved,"Carpet edge pulling up near entryway, tripping hazard",2024-08-10 19:00,2024-08-14 06:16,83.3,V022,general,medium,0.95,true,true
WO00084,T0321,P048,40,general,low,resolved,"Patio door off track, won't slide properly",2025-02-20 11:00,2025-02-28 20:54,201.9,V022,general,low,0.9,true,true
WO00085,T0119,P044,22,plumbing,medium,in-progress,"Hot water heater making popping sounds, no hot water",2024-10-27 20:00,,,V017,plumbing,high,0.95,true,false
WO00086,T0200,P014,38,electrical,emergency,resolved,Flickering lights throughout the apartment,2024-07-09 15:00,2024-07-10 05:49,14.8,V008,electrical,high,0.95,true,false
WO00087,T0205,P023,37,plumbing,medium,resolved,Water stain appearing on ceiling — possible leak from unit above,2025-01-28 11:00,2025-02-05 00:44,181.7,V001,plumbing,high,0.95,true,false
WO00088,T0174,P035,12,general,high,in-progress,"Front door lock sticking, key requires extreme force",2024-08-11 10:00,,,V021,general,medium,0.85,true,false
WO00089,T0474,P020,21,plumbing,high,open,Water stain appearing on ceiling — possible leak from unit above,2025-04-09 18:00,,,,plumbing,high,0.95,true,true
WO00090,T0428,P038,80,plumbing,medium,open,Low water pressure throughout entire unit,2025-04-03 18:00,,,,plumbing,medium,0.9,true,true
WO00091,T0314,P032,47,plumbing,low,resolved,"Shower drain completely clogged, water backing up",2024-10-17 18:00,2024-10-25 08:01,182.0,V001,plumbing,high,0.9,true,false
WO00092,T0255,P015,24,HVAC,medium,resolved,"Furnace won't ignite, no heat in unit",2024-09-25 07:00,2024-10-04 19:26,228.4,V006,HVAC,emergency,0.98,true,false
WO00093,T0397,P037,66,HVAC,medium,resolved,"AC unit making grinding noise, unit is 85 degrees",2025-03-10 14:00,2025-03-13 22:45,80.8,V018,HVAC,emergency,0.95,true,false
WO00094,T0357,P037,131,HVAC,medium,resolved,"HVAC filter clogged, air quality seems poor",2024-07-30 14:00,2024-08-03 09:49,91.8,V020,HVAC,low,0.9,true,false
WO00095,T0463,P016,43,electrical,medium,in-progress,Outlet in kitchen sparks when plugging in appliances,2024-09-30 10:00,,,V002,electrical,emergency,0.99,true,false
WO00096,T0302,P002,116,plumbing,high,resolved,"Dishwasher not draining, standing water at the bottom",2025-03-18 07:00,2025-03-22 06:20,95.3,V001,plumbing,medium,0.9,true,false
WO00097,T0448,P040,149,HVAC,low,open,"HVAC filter clogged, air quality seems poor",2025-01-11 09:00,,,,HVAC,low,0.9,true,true
WO00098,T0145,P012,126,plumbing,medium,resolved,"Hot water heater making popping sounds, no hot water",2024-10-28 09:00,2024-11-04 14:49,173.8,V023,plumbing,high,0.95,true,false
WO00099,T0337,P032,86,plumbing,medium,open,"Dishwasher not draining, standing water at the bottom",2024-09-14 14:00,,,,plumbing,medium,0.9,true,true
WO00100,T0362,P001,3,electrical,low,resolved,"Exterior outlet has no power, GFCI keeps tripping",2025-06-01 11:00,2025-06-21 15:19,484.3,V008,electrical,high,0.95,true,false
WO00101,T0445,P027,9,HVAC,medium,in-progress,Loud banging noise every time heat kicks on,2025-02-13 08:00,,,V006,HVAC,medium,0.95,true,true
WO00102,T0178,P021,77,general,medium,resolved,"Bedroom closet door won't close, keeps swinging open",2024-07-11 10:00,2024-07-20 19:13,225.2,V016,general,low,0.98,true,false
WO00103,T0157,P029,102,HVAC,high,resolved,"HVAC filter clogged, air quality seems poor",2024-06-19 10:00,2024-06-22 12:16,74.3,V018,HVAC,low,0.95,true,false
WO00104,T0488,P023,21,plumbing,emergency,resolved,"Pipe under bathroom vanity is leaking, cabinet floor is wet",2024-10-21 16:00,2024-10-22 02:41,10.7,V001,plumbing,high,0.98,true,false
WO00105,T0031,P007,173,electrical,low,resolved,Outlet in kitchen sparks when plugging in appliances,2024-12-13 13:00,2024-12-26 18:11,317.2,V007,electrical,emergency,0.99,true,false
WO00106,T0106,P009,27,general,high,resolved,"Front door lock sticking, key requires extreme force",2025-05-05 11:00,2025-05-06 13:15,26.3,V021,general,medium,0.95,true,false
WO00107,T0480,P032,61,plumbing,low,resolved,Garbage disposal jammed and won't turn on,2024-10-13 19:00,2024-10-31 08:06,421.1,V003,plumbing,medium,0.95,true,false
WO00108,T0388,P031,126,plumbing,medium,resolved,Low water pressure throughout entire unit,2025-01-05 19:00,2025-01-13 21:30,194.5,V001,plumbing,medium,0.9,true,true
WO00109,T0414,P018,68,plumbing,medium,resolved,"Pipe under bathroom vanity is leaking, cabinet floor is wet",2025-03-01 14:00,2025-03-07 13:12,143.2,V028,plumbing,high,0.98,true,false
WO00110,T0394,P037,141,electrical,high,resolved,"Power went out in half the unit, breaker won't reset",2024-08-07 07:00,2024-08-09 03:12,44.2,V008,electrical,emergency,0.99,true,false
WO00111,T0044,P021,66,HVAC,low,in-progress,Vents blowing hot air when AC is set to cool,2024-12-20 07:00,,,V020,HVAC,medium,0.95,true,false
WO00112,T0141,P014,83,electrical,high,in-progress,Light fixture in bathroom buzzing loudly,2024-06-07 08:00,,,V008,electrical,low,0.9,true,false
WO00113,T0292,P015,19,electrical,low,resolved,"Exterior outlet has no power, GFCI keeps tripping",2025-01-23 07:00,2025-02-05 10:48,315.8,V030,electrical,medium,0.95,true,false
WO00114,T0019,P029,171,electrical,medium,resolved,"Power went out in half the unit, breaker won't reset",2024-12-27 07:00,2025-01-03 08:22,169.4,V002,electrical,emergency,0.99,true,false
WO00115,T0142,P024,5,electrical,low,resolved,Flickering lights throughout the apartment,2024-10-20 11:00,2024-11-08 15:00,460.0,V007,electrical,high,0.95,true,false
WO00116,T0117,P014,49,HVAC,high,resolved,"AC unit making grinding noise, unit is 85 degrees",2024-09-28 08:00,2024-10-01 07:07,71.1,V011,HVAC,emergency,0.98,true,false
WO00117,T0351,P008,8,general,medium,open,"Hole in drywall in hallway, about the size of a fist",2024-07-02 18:00,,,,general,low,0.98,true,false
WO00118,T0133,P025,33,electrical,emergency,resolved,Ceiling fan making humming noise and spinning slowly,2025-03-04 18:00,2025-03-04 21:21,3.4,V007,electrical,low,0.9,true,false
WO00119,T0180,P011,3,plumbing,emergency,resolved,"Dishwasher not draining, standing water at the bottom",2024-07-10 10:00,2024-07-10 16:48,6.8,V028,plumbing,medium,0.95,true,false
WO00120,T0191,P022,59,general,emergency,resolved,"Bedroom closet door won't close, keeps swinging open",2024-08-13 07:00,2024-08-13 16:27,9.5,V021,general,low,0.98,true,false
WO00121,T0172,P033,36,general,low,resolved,"Bedroom closet door won't close, keeps swinging open",2025-04-15 07:00,2025-04-24 12:51,221.9,V005,general,low,0.95,true,true
WO00122,T0149,P016,118,HVAC,low,open,Vents blowing hot air when AC is set to cool,2024-09-17 19:00,,,,HVAC,high,0.98,true,false
WO00123,T0161,P046,17,electrical,low,resolved,Light fixture in bathroom buzzing loudly,2024-06-17 17:00,2024-07-04 21:01,412.0,V030,electrical,medium,0.9,true,false
WO00124,T0391,P045,59,plumbing,low,resolved,"Hot water heater making popping sounds, no hot water",2025-03-17 15:00,2025-04-07 14:15,503.3,V028,plumbing,high,0.95,true,false
WO00125,T0376,P020,28,general,medium,open,"Carpet edge pulling up near entryway, tripping hazard",2024-06-27 16:00,,,,general,medium,0.92,true,true
WO00126,T0242,P032,43,general,medium,in-progress,"Intercom/doorbell not working, can't hear buzzer",2024-10-29 10:00,,,V021,electrical,low,0.85,false,false
WO00127,T0125,P038,55,electrical,high,in-progress,Circuit breaker keeps tripping for bedroom circuit,2025-05-21 10:00,,,V030,electrical,high,0.95,true,true
WO00128,T0376,P020,28,general,medium,resolved,"Carpet edge pulling up near entryway, tripping hazard",2024-07-10 12:00,2024-07-18 01:45,181.8,V016,general,medium,0.92,true,true
WO00129,T0230,P049,26,general,high,resolved,"Patio door off track, won't slide properly",2025-03-03 10:00,2025-03-06 17:54,79.9,V022,general,low,0.95,true,false
WO00130,T0346,P028,25,HVAC,medium,resolved,Strange burning smell coming from air vents,2024-11-08 08:00,2024-11-11 21:41,85.7,V018,HVAC,emergency,0.98,true,false
WO00131,T0259,P012,150,HVAC,medium,resolved,AC not cooling below 78 even on max setting,2024-09-01 14:00,2024-09-04 16:36,74.6,V006,HVAC,medium,0.9,true,true
WO00132,T0215,P025,53,electrical,low,resolved,"Exterior outlet has no power, GFCI keeps tripping",2024-07-22 09:00,2024-08-10 13:08,460.1,V030,electrical,high,0.95,true,false
WO00133,T0013,P020,31,HVAC,low,open,Loud banging noise every time heat kicks on,2024-12-16 13:00,,,,HVAC,medium,0.88,true,false
WO00134,T0182,P031,42,HVAC,medium,resolved,"Furnace won't ignite, no heat in unit",2024-07-31 12:00,2024-08-09 18:46,222.8,V013,HVAC,high,0.95,true,false
WO00135,T0303,P044,3,plumbing,low,open,Garbage disposal jammed and won't turn on,2025-01-16 13:00,,,,plumbing,low,0.85,true,true
WO00136,T0323,P014,31,general,medium,resolved,Garage door opener stopped responding to remote,2025-05-25 09:00,2025-06-02 12:13,195.2,V005,general,low,0.8,true,false
WO00137,T0078,P029,137,plumbing,medium,resolved,"Bathtub faucet handle broken off, can't turn water off",2024-12-12 12:00,2024-12-18 13:40,145.7,V028,plumbing,emergency,0.98,true,false
WO00138,T0370,P032,52,electrical,low,open,Flickering lights throughout the apartment,2025-02-08 12:00,,,,electrical,high,0.92,true,false
WO00139,T0025,P038,92,general,high,resolved,"Patio door off track, won't slide properly",2024-08-13 07:00,2024-08-16 17:36,82.6,V016,general,low,0.95,true,false
WO00140,T0221,P040,180,electrical,medium,resolved,Circuit breaker keeps tripping for bedroom circuit,2024-11-25 11:00,2024-11-29 14:49,99.8,V008,electrical,high,0.95,true,false
WO00141,T0141,P014,83,general,medium,resolved,"Bedroom closet door won't close, keeps swinging open",2024-10-11 16:00,2024-10-19 22:34,198.6,V016,general,low,0.95,true,false
WO00142,T0342,P037,78,electrical,high,in-progress,Dryer outlet not providing power,2024-08-26 07:00,,,V002,electrical,high,0.98,true,true
WO00143,T0492,P029,38,HVAC,emergency,resolved,"AC unit making grinding noise, unit is 85 degrees",2024-12-07 10:00,2024-12-07 18:29,8.5,V020,HVAC,emergency,0.95,true,true
WO00144,T0219,P032,110,general,medium,resolved,"Bedroom closet door won't close, keeps swinging open",2024-07-27 18:00,2024-08-04 16:39,190.7,V005,general,low,0.95,true,false
WO00145,T0228,P038,116,general,medium,open,"Patio door off track, won't slide properly",2024-10-21 18:00,,,,general,medium,0.9,true,true
WO00146,T0343,P049,11,plumbing,low,resolved,"Hot water heater making popping sounds, no hot water",2024-07-09 12:00,2024-07-18 16:39,220.7,V017,plumbing,high,0.95,true,false
WO00147,T0142,P024,5,general,medium,resolved,"Window seal broken, condensation between panes",2025-05-28 18:00,2025-06-02 22:53,124.9,V005,general,low,0.85,true,false
WO00148,T0222,P014,118,plumbing,low,resolved,Garbage disposal jammed and won't turn on,2024-09-06 20:00,2024-09-21 15:32,355.5,V001,plumbing,medium,0.9,true,false
WO00149,T0486,P002,13,plumbing,high,resolved,"Hot water heater making popping sounds, no hot water",2025-05-11 10:00,2025-05-13 05:06,43.1,V003,plumbing,high,0.95,true,true
WO00150,T0249,P025,38,HVAC,medium,in-progress,AC not cooling below 78 even on max setting,2025-04-22 08:00,,,V020,HVAC,medium,0.9,true,true
WO00151,T0439,P007,134,HVAC,emergency,open,Loud banging noise every time heat kicks on,2025-04-09 10:00,,,,HVAC,high,0.9,true,false
WO00152,T0364,P037,143,HVAC,emergency,resolved,Vents blowing hot air when AC is set to cool,2024-12-12 17:00,2024-12-13 08:00,15.0,V013,HVAC,high,0.95,true,false
WO00153,T0248,P050,79,HVAC,low,resolved,"Furnace won't ignite, no heat in unit",2025-05-09 14:00,2025-05-23 10:42,332.7,V018,HVAC,emergency,0.98,true,false
WO00154,T0307,P014,69,electrical,medium,in-progress,"Power went out in half the unit, breaker won't reset",2024-07-28 19:00,,,V008,electrical,emergency,0.99,true,false
WO00155,T0215,P025,53,general,medium,resolved,"Window seal broken, condensation between panes",2024-08-30 14:00,2024-09-09 06:39,232.7,V005,general,low,0.85,true,false
WO00156,T0178,P021,77,general,medium,resolved,Garage door opener stopped responding to remote,2025-02-06 16:00,2025-02-12 13:12,141.2,V016,general,medium,0.8,true,true
WO00157,T0015,P022,101,electrical,high,in-progress,Smoke detector chirping every 30 seconds,2024-07-02 15:00,,,V008,electrical,medium,0.9,true,false
WO00158,T0134,P040,146,electrical,medium,resolved,Smoke detector chirping every 30 seconds,2024-12-22 11:00,2024-12-31 20:16,225.3,V008,electrical,medium,0.9,true,true
WO00159,T0249,P025,38,HVAC,medium,resolved,"Furnace won't ignite, no heat in unit",2025-01-16 13:00,2025-01-21 02:10,109.2,V011,HVAC,emergency,0.98,true,false
WO00160,T0275,P045,27,HVAC,low,open,Vents blowing hot air when AC is set to cool,2025-04-09 12:00,,,,HVAC,high,0.95,true,false
WO00161,T0067,P038,118,plumbing,low,open,Low water pressure throughout entire unit,2024-07-17 19:00,,,,plumbing,medium,0.95,true,false
WO00162,T0361,P037,87,electrical,low,resolved,Dryer outlet not providing power,2024-07-03 17:00,2024-07-11 09:32,184.5,V007,electrical,high,0.98,true,false
WO00163,T0186,P031,75,HVAC,low,resolved,"Thermostat unresponsive, screen is blank",2024-09-26 11:00,2024-10-14 16:13,437.2,V013,HVAC,high,0.95,true,false
WO00164,T0170,P003,23,general,high,resolved,"Front door lock sticking, key requires extreme force",2024-06-19 20:00,2024-06-20 21:26,25.4,V005,general,medium,0.9,true,false
WO00165,T0257,P029,84,general,low,open,"Bedroom closet door won't close, keeps swinging open",2024-11-02 07:00,,,,general,low,0.95,true,true
WO00166,T0118,P012,128,HVAC,emergency,resolved,"Thermostat unresponsive, screen is blank",2025-05-02 13:00,2025-05-02 18:14,5.2,V013,HVAC,high,0.95,true,false
WO00167,T0442,P012,119,plumbing,emergency,resolved,Low water pressure throughout entire unit,2024-06-11 07:00,2024-06-12 01:26,18.4,V028,plumbing,medium,0.95,true,false
WO00168,T0310,P016,86,HVAC,high,resolved,"Thermostat unresponsive, screen is blank",2024-09-08 20:00,2024-09-11 15:36,67.6,V013,HVAC,high,0.95,true,true
